Name,Zip,Opening,Source
The Stash Box,98002,11-21-14,https://twitter.com/StashBoxLLC/status/536327750932766721
Crimson Wave,98042,,
Greenside,98198,,
Bud Nation,98106,06-29-15,https://twitter.com/NationBud206/status/615712264297918464
West Seattle Cannabis Co.,98168,,
Nimbin Farm,98168,,
Have a Heart,98178,04-24-15,http://weedspot.co/listing/have-a-heart-skyway/
Clutch/Rain City Cannabis,98178,12-12-14,https://www.facebook.com/739326236135420/photos/a.739366372798073.1073741827.739326236135420/763115547089822/?type=1&theater
The Evergreen Market,98057,04-18-15,http://seattle.curbed.com/archives/2015/04/rentons-evergreen-market-is-taking-marijuana-retail-upscale.php
Emerald Haze Cannabis Emporium,98056,04-20-15,https://twitter.com/djackthephotog/status/590223792317693952
Issaquah Cannabis Co.,98027,01-30-15,https://twitter.com/IssaquahCannaCo/status/561251050858881024
Ganja Goddess,98134,11-14-14,http://www.highaboveseattle.com/3-more-seattle-marijuana-stores-open-grass-marys-by-michael-perkins-sodos-ganja-goddess/
Seattle Cannabis Co.,98134,02-28-15,http://seattlecannabis.co/grand-opening2015/
Cannabis City,98134,,
Theorem,98134,,
Uncle Ike’s,98122,09-30-14,http://www.capitolhillseattle.com/2014/09/seattles-second-i-502-retailer-uncle-ikes-opens-tuesday/
Craft Elixirs,98103,,
Oz,97103,,
Pot Shop,98103,,
American Mary,98105,,
Herb’s House,98117,02-07-15,http://www.ballardnewstribune.com/2015/02/06/news/ballards-first-recreational-cannabis-store-opens-
Ocean Greens,98103,10-02-14,http://blogs.seattletimes.com/pot/2014/10/01/ocean-greens-to-become-seattles-third-state-licensed-pot-shop/
Herbn Elements,98125,05-02-15,https://www.facebook.com/herbnelements/photos/a.932205803467661.1073741829.928724227149152/932205783467663/?type=1&theater
A Greener Today Recreational,98125,04-09-15,https://www.facebook.com/agreenertodayrec/photos/a.951894094841168.1073741828.951787094851868/956589157704995/?type=1&theater
Mary’s Finest Marijuana,98133,,
Seattle Tonics,98133,,
Dockside Cannabis,98133,12-06-14,http://www.shorelineareanews.com/2014/12/dockside-cannabis-opens-recreational.html
Grass,98125,,
365 Recreational Cannabis,98155,,
Theorem,98028,,
Mary Jane,98034,,
Higher Leaf,98034,02-26-15,http://www.higherleaf.com/blog/2015/2/19/grand-opening-celebration
Belmar,98004,02-12-15,http://www.bellevuereporter.com/business/291957551.html
Greenside,98004,10-25-14,https://www.facebook.com/events/1692731927619203/
