35,Zip,Opening
The Stash Box,98002,11/21/14
Crimson Wave,98042,
Greenside,98198,1/1/15
Bud Nation,98106,6/29/15
West Seattle Cannabis Co.,98168,2/28/15
Nimbin Farm,98168,4/25/15
Have a Heart,98178,4/24/15
Clutch/Rain City Cannabis,98178,12/12/14
The Evergreen Market,98057,4/18/15
Emerald Haze Cannabis Emporium,98056,4/20/15
Issaquah Cannabis Co.,98027,1/30/15
Ganja Goddess,98134,11/14/14
Seattle Cannabis Co.,98134,2/28/15
Cannabis City,98134,
Theorem,98134,
Uncle Ike‰Ûªs,98122,9/30/14
Craft Elixirs,98103,8/30/14
Oz,98103,5/22/15
Pot Shop,98103,5/21/15
American Mary,98105,6/19/15
Herb‰Ûªs House,98117,2/7/15
Ocean Greens,98103,10/2/12014
Herbn Elements,98125,5/2/15
A Greener Today Recreational,98125,4/9/15
Mary‰Ûªs Finest Marijuana,98133,
Seattle Tonics,98133,4/30/15
Dockside Cannabis,98133,12/6/14
Grass + Glass,98125,10/27/14
365 Recreational Cannabis,98155,6/12/15
Theorem,98028,6/17/15
Mary Jane,98034,
Higher Leaf,98034,2/26/15
Belmar,98004,2/12/15
Greenside,98004,10/25/14
#Hashtag,98103,4/20/15
